iter	RMSE
0	0.3649854579
1	0.3591329495
2	0.3533403216
3	0.3479686436
4	0.3427244726
5	0.3374855969
6	0.3322490735
7	0.3273065646
8	0.3229804977
9	0.3178774211
10	0.3136618862
11	0.3091133343
12	0.3048524208
13	0.3006089915
14	0.2964571375
15	0.2935353994
16	0.2898573271
17	0.285792974
18	0.2817375331
19	0.2793115152
20	0.275769252
21	0.2722873909
22	0.2687836296
23	0.265474333
24	0.2624309862
25	0.2594804046
26	0.2568484532
27	0.253978872
28	0.2511444417
29	0.2481311832
30	0.2450979709
31	0.2427256471
32	0.2401625775
33	0.237985624
34	0.2355965612
35	0.2334517242
36	0.2312036577
37	0.2291682313
38	0.2270682281
39	0.2250472545
40	0.2228373197
41	0.2208208359
42	0.2188160263
43	0.2167637977
44	0.2150086452
45	0.2129603744
46	0.2111217543
47	0.2095728347
48	0.2078409567
49	0.2065506312
50	0.2047360743
51	0.2034161776
52	0.2019009933
53	0.2003490495
54	0.1988075024
55	0.1975043926
56	0.1959128914
57	0.1944289786
58	0.1930594061
59	0.1918664877
60	0.1906067598
61	0.1895472943
62	0.1884475658
63	0.1873603984
64	0.1864177046
65	0.1851966352
66	0.1841479376
67	0.1837267327
68	0.1828431024
69	0.1819135845
70	0.1809675111
71	0.1799791786
72	0.1789472436
73	0.1781683938
74	0.1773987168
75	0.1766388334
76	0.175706453
77	0.1748810603
78	0.1739139957
79	0.1729806669
80	0.1720020474
81	0.1711421494
82	0.1704636516
83	0.1697519088
84	0.169052884
85	0.1682616985
86	0.1674292601
87	0.1666544396
88	0.1661495405
89	0.1656242275
90	0.1647628887
91	0.1641510947
92	0.1635515576
93	0.1630088001
94	0.1626123006
95	0.1618547014
96	0.1614023936
97	0.1608027465
98	0.1603752966
99	0.1598373736
100	0.1593526436
101	0.1589339521
102	0.1583193507
103	0.1577979205
104	0.1574162203
105	0.1569610907
106	0.1564719098
107	0.1560347626
108	0.1556312917
109	0.155195287
110	0.1548505664
111	0.1543697961
112	0.1539576483
113	0.1534801591
114	0.1529820857
115	0.1524180721
116	0.1521655472
117	0.1516787479
118	0.1512692025
119	0.1508040763
120	0.150615167
121	0.1502683666
122	0.1499250356
123	0.1495493957
124	0.1491435463
125	0.1487124023
126	0.1483207473
127	0.1480311119
128	0.1477259621
129	0.1474080739
130	0.1470323517
131	0.1466678822
132	0.146304643
133	0.145973702
134	0.1457081812
135	0.1454780907
136	0.1451672025
137	0.1448272159
138	0.1444760636
139	0.1441789648
140	0.1438667102
141	0.1435874403
142	0.1433350631
143	0.1430383576
144	0.1427484771
145	0.1424276872
146	0.1421322733
147	0.1419371055
148	0.1416068879
149	0.141337432
150	0.1411938604
151	0.1408738334
152	0.1406607908
153	0.1404437101
154	0.1402068224
155	0.1400100071
156	0.139760087
157	0.1396021419
158	0.1394271622
159	0.1391616676
160	0.1388518643
161	0.1386434512
162	0.1384431052
163	0.1381860133
164	0.1380354441
165	0.1378412758
166	0.1377506053
167	0.1376721841
168	0.1375164906
169	0.1373652068
170	0.1371393924
171	0.1369854307
172	0.1367482674
173	0.1365209181
174	0.1363542096
175	0.13617668
176	0.1359944152
177	0.135804343
178	0.1356219595
179	0.1354722123
180	0.1353261335
181	0.1351695429
182	0.1349708196
183	0.1348936065
184	0.1347657207
185	0.1345398357
186	0.1343793737
187	0.1341506615
188	0.1339962343
189	0.1339324155
190	0.1339136352
191	0.1337459282
192	0.1335852823
193	0.1334659162
194	0.1333060667
195	0.1332487857
196	0.1331318452
197	0.132962941
198	0.1328827783
199	0.1328310207
200	0.1326798293
201	0.1325498498
202	0.1323986105
203	0.1321398824
204	0.1318976417
205	0.1316938641
206	0.1315388504
207	0.1313757849
208	0.1312513324
209	0.1311280902
210	0.1310410603
211	0.1308874715
212	0.1307616407
213	0.1305568003
214	0.1304064472
215	0.1302916965
216	0.1302267668
217	0.1301302346
218	0.1299544934
219	0.1297970177
220	0.1296791122
221	0.1295520956
222	0.1294325681
223	0.129310453
224	0.12918322
225	0.1290228704
226	0.1289112657
227	0.1287774613
228	0.1286461129
229	0.1285100892
230	0.1284840069
231	0.128332362
232	0.1281966697
233	0.1280817142
234	0.1279496456
235	0.1278347476
236	0.1277377299
237	0.1275564454
238	0.1274597968
239	0.1272094085
240	0.1270984002
241	0.126989388
242	0.1269847861
243	0.1268106916
244	0.126638401
245	0.1264434243
246	0.1262955675
247	0.1261386845
248	0.125899959
249	0.1257063785
250	0.1255926965
251	0.1254233674
252	0.1253048312
253	0.1252252068
254	0.1251029167
255	0.1249766209
256	0.124862577
257	0.1248054345
258	0.1247317925
259	0.1245577156
260	0.1244210379
261	0.1242379926
262	0.1241668524
263	0.124037012
264	0.1239161601
265	0.1237544426
266	0.1236184419
267	0.1235140399
268	0.1233833252
269	0.1232632225
270	0.1230966998
271	0.1229623455
272	0.1228851455
273	0.1227298565
274	0.1226061396
275	0.1224291272
276	0.1223119247
277	0.1221995889
278	0.1220211188
279	0.1218994594
280	0.1217715928
281	0.1216327733
282	0.1214524102
283	0.1213704126
284	0.121264258
285	0.1211858566
286	0.1210435134
287	0.1209251385
288	0.1208118365
289	0.1207536446
290	0.1206405274
291	0.1204721729
292	0.1202774178
293	0.1201864894
294	0.1200240433
295	0.1199034353
296	0.1198434984
297	0.1198179591
298	0.119683489
299	0.1195987866
300	0.1195910998
301	0.1194662274
302	0.1193806081
303	0.1192341806
304	0.1190917405
305	0.118936677
306	0.1188468502
307	0.1186899523
308	0.1184820444
309	0.1184390009
310	0.1182810291
311	0.1182063731
312	0.1180911207
313	0.1179613613
314	0.117847077
315	0.1177411323
316	0.1176568965
317	0.1175723453
318	0.1174958646
319	0.1173860068
320	0.117260505
321	0.1171660761
322	0.1171097504
323	0.1170163279
324	0.1168784893
325	0.1168756078
326	0.1167691753
327	0.1166281719
328	0.1165134554
329	0.1165106694
330	0.1164390307
331	0.1162935573
332	0.1162334638
333	0.1161657582
334	0.1160654629
335	0.1159407842
336	0.1159197337
337	0.1158226039
338	0.1157892893
339	0.115701908
340	0.1156246833
341	0.1155672193
342	0.1154553896
343	0.1153617779
344	0.1153589506
345	0.1152282511
346	0.1150900147
347	0.1150872291
348	0.1149940709
349	0.114891566
350	0.1148516626
351	0.1147142257
352	0.1145828517
353	0.1144479749
354	0.1143772392
355	0.1143102352
356	0.1141834729
357	0.1140756541
358	0.1140475573
359	0.1139917986
