author_type,district,floor,floors_count,kitchen_meters,price,rooms_count,street,total_meters,underground,is_studio,house_age,latitude,longitude,distance_to_metro_km,distance_to_center_km,has_metro,metro_zone,effective_metro_distance,distance_to_NSU_km
developer,Заельцовский,4.0,9.0,5.0,4.47,1.0,Аэропорт,20.16,Заельцовская,1,1,55.080158,82.901799,2.451,5.684286936281938,1,Транспортная,2.451,29.02775942183817
realtor,Заельцовский,18.0,19.0,5.0,5.7,1.0,Вавилова,23.1,Заельцовская,1,10,55.055723,82.895133,1.171,3.267302870649764,1,Комфортная,1.171,26.791460730992572
homeowner,Заельцовский,6.0,9.0,5.58,4.05,1.0,Сухарная,27.9,Площадь Гарина-Михайловского,1,3,55.046796,82.859497,2.852,4.300773880763655,1,Транспортная,2.852,27.110837817747704
real_estate_agent,Калининский,4.0,5.0,6.0,4.0,1.0,Олеко Дундича,29.0,Березовая Роща,1,56,55.076097,82.967582,3.781,5.924793885580011,1,Автомобильная,3.781,27.084907378791467
real_estate_agent,Центральный,5.0,5.0,4.0,3.8,1.0,Крылова,25.0,Красный проспект,1,18,55.040399,82.916926,0.137,1.1597413217584938,1,Пешеходная,0.137,24.63584764346058
developer,Кировский,8.0,11.0,4.3,4.5,1.0,18-й Бронный переулок,25.3,Площадь Маркса,1,2,54.94595,82.942429,5.005,9.468814785943897,0,Автомобильная,0.0,14.952863506737435
real_estate_agent,Октябрьский,2.0,17.0,3.0,5.039,1.0,Закаменский мкр,23.5,Березовая Роща,1,3,55.037036,82.955302,0.729,2.3495398842606523,1,Комфортная,0.729,23.264534725560093
real_estate_agent,Кировский,3.0,3.0,4.0,2.4,1.0,Воскресная,28.7,Спортивная,1,10,54.94309,83.000371,7.697,10.943281023352446,0,Удалённая,0.0,12.582161573330128
real_estate_agent,Заельцовский,4.0,24.0,5.0,5.3,1.0,Сухарная,25.8,Площадь Гарина-Михайловского,1,4,55.04646,82.865794,2.48,3.924932613347529,1,Транспортная,2.48,26.859316812850363
real_estate_agent,Кировский,4.0,17.0,3.0,3.7,1.0,Тульская,27.2,Студенческая,1,6,54.978178,82.916648,1.358,5.785735902161735,0,Комфортная,0.0,18.77742222383056
developer,Заельцовский,20.0,20.0,7.8,9.9,1.0,Дуси Ковальчук,33.9,Заельцовская,1,1,55.057193,82.906865,0.417,3.127270329890379,1,Пешеходная,0.417,26.59018735446785
realtor,Заельцовский,9.0,19.0,5.0,5.6,1.0,Плановая,22.4,Заельцовская,1,14,55.054676,82.894828,1.23,3.176507624411943,1,Комфортная,1.23,26.698378576809837
developer,Центральный,17.0,29.0,2.0,4.73525,1.0,Николая Островского,20.15,Маршала Покрышкина,1,1,55.050262,82.927778,0.751,2.2831220130337577,1,Комфортная,0.751,25.315850278715093
real_estate_agent,Дзержинский,5.0,19.0,4.0,4.554,1.0,Авиастроителей,29.4,Березовая Роща,1,5,55.074994,82.980141,3.957,6.2697690244142885,1,Автомобильная,3.957,26.73869025129058
realtor,Кировский,1.0,3.0,1.0,2.15,1.0,Рубежная,25.1,Спортивная,1,14,54.94083,83.000389,7.887,11.166828681835351,0,Удалённая,0.0,12.36131044131466
real_estate_agent,Дзержинский,14.0,19.0,17.0,5.9,1.0,Кошурникова,34.0,Золотая Нива,1,15,55.040858,82.973367,0.4,3.576324884765848,1,Пешеходная,0.4,23.250113961237563
real_estate_agent,Дзержинский,3.0,25.0,5.04,6.0,1.0,Гоголя,25.2,Березовая Роща,1,1,55.047631,82.96592,1.015,3.4886760926538773,1,Комфортная,1.015,24.11894808166873
real_estate_agent,Кировский,3.0,3.0,8.0,2.8,1.0,Вознесенская,37.6,Спортивная,1,9,54.941451,83.001053,7.863,11.124952135077535,0,Удалённая,0.0,12.40129781172966
real_estate_agent,Кировский,12.0,17.0,5.0,3.5,1.0,Беловежская,23.8,Площадь Маркса,1,8,54.966639,82.892573,1.757,7.283889936880185,0,Транспортная,0.0,18.79263262521231
real_estate_agent,Октябрьский,15.0,25.0,3.3,6.09,1.0,Гурьевская,30.11,Золотая Нива,1,6,55.025219,82.966342,1.488,2.977048600898019,1,Комфортная,1.488,21.78194857128038
real_estate_agent,Кировский,5.0,10.0,5.5200000000000005,3.2,1.0,Сибиряков-Гвардейцев,27.6,Площадь Маркса,1,9,54.937531,82.895286,4.978,10.424676331333789,0,Автомобильная,0.0,16.454588571766323
real_estate_agent,Октябрьский,7.0,17.0,5.1,3.6,1.0,Рябиновая,25.4,Золотая Нива,1,18,55.001778,83.025532,5.09,7.406514574046946,1,Автомобильная,5.09,18.126139483652654
real_estate_agent,Заельцовский,24.0,28.0,5.996,7.75,1.0,Сухарная,29.98,Площадь Гарина-Михайловского,1,1,55.046373,82.855886,3.041,4.490523798660787,1,Автомобильная,3.041,27.200011743723838
real_estate_agent,Железнодорожный,13.0,17.0,3.0,4.7,1.0,Железнодорожная,25.8,Гагаринская,1,11,55.047373,82.906155,0.676,2.1187874816861973,1,Комфортная,0.676,25.64145148270147
real_estate_agent,Кировский,2.0,3.0,3.2,2.4,1.0,Николая Грицюка,26.9,Площадь Маркса,1,11,54.935141,82.845286,6.17,11.603307706657596,0,Автомобильная,0.0,18.889838567818604
developer,Октябрьский,24.0,25.0,3.8,5.86,1.0,Ленинградская,32.41,Речной вокзал,1,1,55.011185,82.963136,1.635,3.444290843570368,1,Транспортная,1.635,20.427155475247062
real_estate_agent,Железнодорожный,3.0,8.0,8.5,6.0,1.0,Ленина,26.5,Площадь Гарина-Михайловского,1,3,55.040497,82.8941,0.666,2.0337757320425776,1,Комфортная,0.666,25.348043009947677
developer,Октябрьский,11.0,12.0,5.246,5.49,1.0,Кошурникова,26.23,Золотая Нива,1,1,55.039997,82.966774,0.627,3.1486892845804637,1,Комфортная,0.627,23.3034375427293
real_estate_agent,Октябрьский,15.0,25.0,20.2,5.9,1.0,Обская,28.2,Речной вокзал,1,6,55.002057,82.945555,0.948,3.511848055965444,1,Комфортная,0.948,20.013818021607584
real_estate_agent,Октябрьский,18.0,20.0,11.4,4.9,1.0,Обская,24.3,Речной вокзал,1,12,54.999387,82.953811,1.507,4.0299135462509685,1,Транспортная,1.507,19.505049408378095
real_estate_agent,Кировский,3.0,10.0,3.0,2.699999,1.0,Петухова,21.0,Площадь Маркса,1,9,54.940706,82.952383,5.853,10.154067599787254,0,Автомобильная,0.0,14.096976488532691
real_estate_agent,Кировский,16.0,26.0,5.502000000000001,5.0,1.0,Аникина,27.51,Студенческая,1,1,54.965574,82.945088,3.571,7.352291025391459,0,Автомобильная,0.0,16.57419367825262
real_estate_agent,Октябрьский,6.0,18.0,10.0,5.8,1.0,Большевистская,30.3,Речной вокзал,1,5,55.011015,82.931632,0.431,2.2458050025661302,1,Пешеходная,0.431,21.31441348952398
real_estate_agent,Ленинский,2.0,16.0,5.508,3.65,1.0,Зорге,27.54,Площадь Маркса,1,22,54.92808,82.924598,6.296,11.35444058673209,1,Автомобильная,6.296,14.344952122118581
real_estate_agent,Калининский,4.0,17.0,5.0,4.3,1.0,Мясниковой,29.0,Заельцовская,1,3,55.106057,82.944711,5.617,8.57917913788944,1,Автомобильная,5.617,30.701660207861508
real_estate_agent,Ленинский,4.0,6.0,6.0,2.85,1.0,Дивногорская,24.2,Площадь Гарина-Михайловского,1,13,55.022938,82.81062,5.838,7.0452756466920965,1,Автомобильная,5.838,26.937609752086026
developer,Заельцовский,23.0,25.0,6.6,13.0,1.0,Красный проспект,85.4,Заельцовская,1,2,55.075716,82.911411,1.86,5.097555932832565,1,Транспортная,1.86,28.323061374176355
real_estate_agent,Ленинский,4.0,5.0,7.0,5.8,1.0,Римского-Корсакова,32.0,Площадь Маркса,1,66,54.981231,82.884398,0.762,5.906624197372481,1,Комфортная,0.762,20.343732018894855
real_estate_agent,Заельцовский,5.0,11.0,18.200000000000003,5.1,1.0,Кубовая,36.2,Заельцовская,1,12,55.126668,82.896831,7.591,10.835330465346312,1,Удалённая,7.591,33.89885439890551
real_estate_agent,Кировский,5.0,26.0,6.300000000000001,3.6,1.0,Беловежская,27.3,Площадь Маркса,1,6,54.961894,82.888045,2.328,7.867515368147824,0,Транспортная,0.0,18.61632278701796
real_estate_agent,Кировский,3.0,17.0,5.0,3.5,1.0,Бронная,26.0,Площадь Маркса,1,2,54.948458,82.967438,5.902,9.567430698725714,0,Автомобильная,0.0,14.196694380147425
real_estate_agent,Калининский,8.0,9.0,4.64,3.5,1.0,Гребенщикова,23.2,Заельцовская,1,3,55.108869,82.936662,5.753,8.81225016991231,1,Автомобильная,5.753,31.16073509731606
real_estate_agent,Октябрьский,10.0,10.0,14.4,3.35,1.0,Татьяны Снежиной,32.4,Золотая Нива,1,17,55.022319,83.022047,3.408,6.534885091659973,1,Автомобильная,3.408,20.398792551314248
realtor,Ленинский,8.0,25.0,5.0,5.19,1.0,Ясный Берег,30.0,Площадь Ленина,1,4,55.016151,82.897882,2.121,2.120153906126768,1,Транспортная,2.121,22.919288877023153
real_estate_agent,Октябрьский,6.0,16.0,5.0,4.1,1.0,Закаменский мкр,21.3,Березовая Роща,1,4,55.036834,82.957925,0.815,2.501451551499742,1,Комфортная,0.815,23.180393285808286
developer,Железнодорожный,24.0,24.0,12.699999999999996,8.35,1.0,Прибрежная,34.3,Площадь Гарина-Михайловского,1,2,55.030519,82.889321,0.851,1.983366535184058,1,Комфортная,0.851,24.55820665848956
real_estate_agent,Дзержинский,7.0,14.0,5.0,4.3,1.0,Есенина,31.0,Золотая Нива,1,3,55.034461,82.99428,1.237,4.7300697900864686,1,Комфортная,1.237,22.159877560876584
real_estate_agent,Октябрьский,5.0,10.0,5.0,3.4,1.0,Татьяны Снежиной,32.5,Золотая Нива,1,14,55.020802,83.011097,2.927,5.871614382025046,1,Транспортная,2.927,20.405034129531543
realtor,Октябрьский,7.0,25.0,3.0,4.7,1.0,Кирова,23.0,Октябрьская,1,3,55.013591,82.955042,1.164,2.874465185953487,1,Комфортная,1.164,20.886089898455722
realtor,Кировский,1.0,3.0,5.0,2.390009,1.0,Рубежная,34.2,Спортивная,1,10,54.941301,83.005635,8.071,11.27770961772552,0,Удалённая,0.0,12.24860849106055
real_estate_agent,Центральный,13.0,16.0,13.0,6.35,1.0,Чаплыгина,28.0,Площадь Ленина,1,18,55.026866,82.928137,0.617,0.612749124089513,1,Комфортная,0.617,22.97117178588824
real_estate_agent,Заельцовский,15.0,28.0,2.4,4.5,1.0,Сухарная,22.32,Площадь Гарина-Михайловского,1,2,55.047213,82.858868,2.909,4.356947060903408,1,Транспортная,2.909,27.17164052970939
real_estate_agent,Октябрьский,5.0,24.0,5.0,4.49,1.0,Большевистская,23.15,Речной вокзал,1,1,55.003678,82.946319,0.832,3.37596176492265,1,Комфортная,0.832,20.149667926859088
developer,Заельцовский,15.0,15.0,12.2,14.11,1.0,Красный проспект,88.8,Заельцовская,1,2,55.075716,82.911411,1.86,5.097555932832565,1,Транспортная,1.86,28.323061374176355
real_estate_agent,Кировский,10.0,10.0,4.0,3.25,1.0,Виктора Шевелева,39.0,Площадь Маркса,1,9,54.945417,82.970807,6.285,9.95642136367126,0,Автомобильная,0.0,13.796256310497666
developer,Заельцовский,13.0,23.0,5.074000000000001,3.62791,1.0,Светлановская,25.37,Заельцовская,1,1,55.075406,82.922819,1.937,5.032859017673609,1,Транспортная,1.937,27.999282260318072
developer,Заельцовский,8.0,25.0,4.0,7.2,1.0,Красный проспект,37.4,Заельцовская,1,2,55.075716,82.911411,1.86,5.097555932832565,1,Транспортная,1.86,28.323061374176355
real_estate_agent,Октябрьский,17.0,17.0,9.2,5.45,1.0,Гаранина,27.2,Золотая Нива,1,4,55.025281,82.972173,1.376,3.3418646408059747,1,Комфортная,1.376,21.651560887873792
homeowner,Ленинский,15.0,17.0,3.0,2.9,1.0,Спортивная,22.0,Площадь Маркса,1,3,54.981505,82.781164,7.341,10.399698490338915,1,Удалённая,7.341,25.203695145381598
developer,Заельцовский,14.0,29.0,6.6,8.152941,1.0,Сухарная,27.36,Площадь Гарина-Михайловского,1,1,55.046373,82.855886,3.041,4.490523798660787,1,Автомобильная,3.041,27.200011743723838
real_estate_agent,Заельцовский,12.0,13.0,6.0,4.4,1.0,Кубовая,40.0,Заельцовская,1,3,55.122982,82.903335,7.139,10.378031324254142,1,Удалённая,7.139,33.36523531097942
realtor,Октябрьский,15.0,29.0,3.0,4.9,1.0,Вилюйская,32.0,Речной вокзал,1,11,55.001737,83.004503,4.342,6.222306965246409,1,Автомобильная,4.342,18.492652966918236
developer,Ленинский,27.0,30.0,8.5,6.203,1.0,Горская,23.2,Спортивная,1,2,54.995844,82.91203,0.524,3.853770837297188,1,Комфортная,0.524,20.541798694806754
real_estate_agent,Октябрьский,3.0,27.0,4.0,5.78,1.0,Добролюбова,26.88,Речной вокзал,1,5,55.00864,82.952697,0.959,3.1556602739662587,1,Комфортная,0.959,20.45518138668567
real_estate_agent,Кировский,2.0,17.0,4.0,2.29,1.0,Виктора Уса,20.0,Площадь Маркса,1,13,54.935772,82.883033,5.242,10.763921782446598,0,Автомобильная,0.0,16.948588855114444
developer,Ленинский,18.0,18.0,5.214,5.59,1.0,Костычева,26.07,Площадь Маркса,1,1,54.975372,82.87776,1.406,6.672955457923809,1,Комфортная,1.406,20.147781933730414
real_estate_agent,Калининский,8.0,16.0,4.0,3.9,1.0,Тайгинская,29.2,Заельцовская,1,4,55.113117,82.978119,7.321,9.928021281956193,1,Удалённая,7.321,30.869275320320725
real_estate_agent,Октябрьский,5.0,10.0,5.0,3.29,1.0,Татьяны Снежиной,33.0,Золотая Нива,1,16,55.018995,83.016379,3.315,6.240234996162205,1,Автомобильная,3.315,20.125202133540018
real_estate_agent,Октябрьский,3.0,22.0,12.6,4.6,1.0,Декабристов,30.6,Речной вокзал,1,7,55.005175,82.960485,1.524,3.773605198841164,1,Транспортная,1.524,19.891789676064388
real_estate_agent,Первомайский,10.0,17.0,4.0,2.1,1.0,Твардовского,22.0,Речной вокзал,1,13,54.93465,83.115436,14.056,16.358848976093878,0,Удалённая,0.0,10.215839894169969
real_estate_agent,Ленинский,1.0,14.0,2.0,3.5,1.0,Титова,25.3,Площадь Маркса,1,11,54.978586,82.810898,5.459,9.0382662885186,1,Автомобильная,5.459,23.51561412102467
real_estate_agent,Советский,20.0,22.0,12.3,4.95,1.0,Русская,30.7,Площадь Маркса,1,10,54.844679,83.059112,18.509,22.44694165373492,0,Удалённая,0.0,2.2433639235971556
developer,Дзержинский,10.0,17.0,17.72,5.9709,1.0,Промышленная,30.62,Березовая Роща,1,1,55.055398,82.966414,1.632,4.056250544857086,1,Транспортная,1.632,24.92245547039263
real_estate_agent,Октябрьский,18.0,25.0,5.0,6.4,1.0,Бориса Богаткова,26.9,Золотая Нива,1,7,55.029043,82.969496,1.018,3.129166156449042,1,Комфортная,1.018,22.10325917751445
developer,Ленинский,15.0,18.0,5.0,6.60295,1.0,Серафимовича,30.2,Площадь Маркса,1,1,54.979909,82.879547,1.095,6.166627238207052,1,Комфортная,1.095,20.440256330573085
realtor,Ленинский,17.0,17.0,4.6,3.9,1.0,Рельефная,26.6,Площадь Маркса,1,2,54.975083,82.811994,5.433,9.238103600075624,1,Автомобильная,5.433,23.21507415130929
real_estate_agent,Первомайский,6.0,17.0,6.0,4.09,1.0,Виноградова,23.4,Золотая Нива,1,7,54.976772,83.08536,9.726,12.077713286246576,0,Удалённая,0.0,14.818585732426731
developer,Заельцовский,15.0,25.0,5.338000000000001,4.85,1.0,Светлановская,26.69,Заельцовская,1,4,55.07704,82.923439,2.121,5.215770504742127,1,Транспортная,2.121,28.15120516934958
