author_type,district,finish_type,floor,floors_count,kitchen_meters,living_meters,price,rooms_count,street,total_meters,underground,year_of_construction
developer,Заельцовский,С отделкой,13,23,-1,-1,3627910,-1,Светлановская ,25.37,Заельцовская,2026
homeowner,Кировский,-1,8,17,-1,16 м²,2650000,1, Виктора Уса,21.0,Площадь Маркса,2016
real_estate_agent,Кировский,-1,3,3,4 м²,20 м²,2400000,1,Воскресная ,28.7,Студенческая,2017
developer,Калининский,Черновая,1,23,-1,-1,4745210,1,,27.1,Маршала Покрышкина,2027
real_estate_agent,Калининский,-1,12,19,3 м²,16 м²,5800000,1,Армавирская ,32.0,Березовая Роща,2023
real_estate_agent,Ленинский,-1,2,3,2 м²,10 м²,1790000,1,переулок 1-й Пархоменко,12.0,Площадь Маркса,1937
developer,Заельцовский,Предчистовая,7,9,-1,-1,4010000,1,Лебедевский кв-л,20.7,Заельцовская,2028
real_estate_agent,Дзержинский,-1,8,29,3 м²,16 м²,5800000,1,Закаменский мкр,27.5,Березовая Роща,2025
realtor,Заельцовский,-1,7,9,-1,-1,2600000,1,Дачная ,18.0,Заельцовская,-1
developer,Заельцовский,С отделкой,4,23,-1,-1,4324650,-1,Светлановская ,26.21,Заельцовская,2026
real_estate_agent,Калининский,-1,8,17,4 м²,15 м²,3850000,1, Фадеева,27.4,Заельцовская,2015
homeowner,Первомайский,-1,15,18,-1,"19,7 м²",2350000,1, Одоевского,19.7,Спортивная,2011
developer,Дзержинский,Предчистовая,5,9,-1,-1,7960000,1,,27.55,Березовая Роща,2028
real_estate_agent,Октябрьский,-1,13,17,4 м²,"16,3 м²",4590000,1,Закаменский мкр,25.3,Березовая Роща,2021
real_estate_agent,Дзержинский,-1,1,3,3 м²,15 м²,2650000,1, Селезнева,19.0,Березовая Роща,1947
developer,Калининский,Черновая,16,23,-1,-1,4513500,1,,25.5,Маршала Покрышкина,2027
real_estate_agent,Дзержинский,-1,1,16,3 м²,"14,4 м²",3400000,-1, Авиастроителей,22.4,Березовая Роща,-1
real_estate_agent,Первомайский,-1,17,17,-1,-1,2070000,1, Твардовского,19.2,Речной вокзал,-1
developer,Дзержинский,Предчистовая,6,14,-1,-1,6970000,1,,23.29,Березовая Роща,2028
real_estate_agent,Калининский,-1,2,12,5 м²,"13,4 м²",3990000,1, Имени генерал-майора А.Н. Рожкина,27.8,Заельцовская,2024
real_estate_agent,Первомайский,-1,2,17,3 м²,"11,2 м²",2000000,1, Твардовского,19.2,Речной вокзал,-1
developer,Калининский,Черновая,11,23,-1,-1,4554000,1,,25.3,Маршала Покрышкина,2027
real_estate_agent,Калининский,-1,17,20,3 м²,17 м²,5100000,1, Олеко Дундича,29.0,Березовая Роща,-1
homeowner,Ленинский,-1,8,13,5 м²,18 м²,4500000,1,69/1,25.8,Студенческая,2011
developer,Заельцовский,Предчистовая,9,24,"2,3 м²","11,8 м²",5950000,1,,27.3,Заельцовская,2028
real_estate_agent,Калининский,-1,19,19,5 м²,17 м²,4790000,1, Гребенщикова,30.9,Заельцовская,2016
real_estate_agent,Калининский,-1,2,4,-1,20 м²,2226000,-1, Богдана Хмельницкого,24.4,Заельцовская,2024
developer,Дзержинский,Предчистовая,7,9,5 м²,"13,3 м²",7550000,1,,31.71,Березовая Роща,2028
real_estate_agent,Октябрьский,-1,10,17,-1,"17,5 м²",5050000,1,Закаменский мкр,24.0,Березовая Роща,2024
real_estate_agent,Центральный,-1,1,5,-1,12 м²,2550000,1, Гоголя,14.0,Сибирская,1960
developer,Калининский,Черновая,3,23,-1,-1,5076000,1,,28.2,Маршала Покрышкина,2027
real_estate_agent,Первомайский,-1,6,17,5 м²,"13,4 м²",4250000,1, Виноградова,23.4,Речной вокзал,2020
real_estate_agent,Кировский,-1,4,17,4 м²,"10,7 м²",2400000,1, Виктора Уса,19.7,Площадь Маркса,2012
developer,Заельцовский,Предчистовая,9,9,-1,-1,7640000,1,Лебедевский кв-л,33.6,Заельцовская,2028
real_estate_agent,Ленинский,-1,11,25,5 м²,22 м²,6700000,1, Ясный Берег,36.0,Площадь Маркса,2020
realtor,Кировский,-1,1,3,1 м²,"21,8 м²",2150000,1,Рубежная ,25.1,Площадь Маркса,2013
developer,Дзержинский,Предчистовая,9,14,5 м²,10 м²,7760000,1,,26.84,Березовая Роща,2028
real_estate_agent,Центральный,-1,10,20,5 м²,"20,1 м²",7000000,1, Гоголя,30.1,Маршала Покрышкина,-1
real_estate_agent,Кировский,-1,2,3,5 м²,"14,9 м²",2200000,1,Рубежная ,24.9,Студенческая,-1
developer,Железнодорожный,Предчистовая,18,24,-1,"56,2 м²",16360000,1, Прибрежная,99.4,Площадь Гарина-Михайловского,2025
real_estate_agent,Дзержинский,-1,13,17,5 м²,"14,6 м²",6190000,1, Николая Островского,24.6,Березовая Роща,2024
real_estate_agent,Ленинский,-1,2,3,2 м²,12 м²,2350000,1,переулок 1-й Пархоменко,18.0,Площадь Маркса,1937
