accommodation_type,author,author_type,deal_type,district,finish_type,floor,floors_count,heating_type,house_material_type,house_number,kitchen_meters,living_meters,location,object_type,phone,price,residential_complex,rooms_count,street,total_meters,underground,url,year_of_construction
flat,СМСС,developer,sale,Заельцовский,С отделкой,13,23,-1,-1,46/1,-1,-1,Новосибирск,-1,79012473020,3627910,Апартаменты VOROSHILOV,-1,Светлановская ,25.37,Заельцовская,https://novosibirsk.cian.ru/sale/flat/326269179/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2026
flat,ID 91578890,homeowner,sale,Кировский,-1,8,17,-1,-1,2,-1,16 м²,Новосибирск,-1,79137094698,2650000,,1, Виктора Уса,21.0,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/322640499/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2016
flat,Формула недвижимости,real_estate_agent,sale,Кировский,-1,3,3,-1,-1,4/1,4 м²,20 м²,Новосибирск,-1,79130127984,2400000,,1,Воскресная ,28.7,Студенческая,https://novosibirsk.cian.ru/sale/flat/321940754/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2017
flat,СМСС,developer,sale,Калининский,Черновая,1,23,-1,-1,,-1,-1,Новосибирск,-1,79586117355,4745210,Калининский квартал ЖК,1,,27.1,Маршала Покрышкина,https://novosibirsk.cian.ru/sale/flat/325987905/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2027
flat,ИП Павлова И. В.,real_estate_agent,sale,Калининский,-1,12,19,-1,-1,1,3 м²,16 м²,Новосибирск,-1,79134723153,5800000,Калининский-3,1,Армавирская ,32.0,Березовая Роща,https://novosibirsk.cian.ru/sale/flat/306197062/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2023
flat,100 Домов-Новосибирск,real_estate_agent,sale,Ленинский,-1,2,3,-1,-1,22,2 м²,10 м²,Новосибирск,-1,79137714984,1790000,,1,переулок 1-й Пархоменко,12.0,Площадь Маркса,https://novosibirsk.cian.ru/sale/flat/323282875/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,1937
flat,Брусника,developer,sale,Заельцовский,Предчистовая,7,9,-1,-1,1/4,-1,-1,Новосибирск,-1,79586110308,4010000,Лебедевский,1,Лебедевский кв-л,20.7,Заельцовская,https://novosibirsk.cian.ru/sale/flat/324678918/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2028
flat,ИП Павлова И. В.,real_estate_agent,sale,Дзержинский,-1,8,29,-1,-1,21,3 м²,16 м²,Новосибирск,-1,79134723153,5800000,Менделеев,1,Закаменский мкр,27.5,Березовая Роща,https://novosibirsk.cian.ru/sale/flat/325452211/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2025
flat,Дмитрий Чубыкин,realtor,sale,Заельцовский,-1,7,9,-1,-1,37,-1,-1,Новосибирск,-1,79833042572,2600000,,1,Дачная ,18.0,Заельцовская,https://novosibirsk.cian.ru/sale/flat/321445646/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,-1
flat,СМСС,developer,sale,Заельцовский,С отделкой,4,23,-1,-1,46/1,-1,-1,Новосибирск,-1,79012473020,4324650,Апартаменты VOROSHILOV,-1,Светлановская ,26.21,Заельцовская,https://novosibirsk.cian.ru/sale/flat/326269286/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2026
flat,Открытый Город,real_estate_agent,sale,Калининский,-1,8,17,-1,-1,66/2,4 м²,15 м²,Новосибирск,-1,79137220758,3850000,На Фадеева,1, Фадеева,27.4,Заельцовская,https://novosibirsk.cian.ru/sale/flat/324332974/?mlSearchSessionGuid=369716486799f3f85a7a10d61170dd35,2015
