floor,floors_count,price,rooms_count,total_meters,year_of_construction
13,23,3627910,1.0,25.37,2026
8,17,2650000,1.0,21.0,2016
3,3,2400000,1.0,28.7,2017
1,23,4745210,1.0,27.1,2027
12,19,5800000,1.0,32.0,2023
2,3,1790000,1.0,12.0,1937
7,9,4010000,1.0,20.7,2028
8,29,5800000,1.0,27.5,2025
7,9,2600000,1.0,18.0,2007
4,23,4324650,1.0,26.21,2026
8,17,3850000,1.0,27.4,2015
15,18,2350000,1.0,19.7,2011
5,9,7960000,1.0,27.55,2028
13,17,4590000,1.0,25.3,2021
1,3,2650000,1.0,19.0,1947
16,23,4513500,1.0,25.5,2027
1,16,3400000,1.0,22.4,2007
17,17,2070000,1.0,19.2,2007
6,14,6970000,1.0,23.29,2028
2,12,3990000,1.0,27.8,2024
2,17,2000000,1.0,19.2,2007
11,23,4554000,1.0,25.3,2027
17,20,5100000,1.0,29.0,2007
8,13,4500000,1.0,25.8,2011
9,24,5950000,1.0,27.3,2028
19,19,4790000,1.0,30.9,2016
2,4,2226000,1.0,24.4,2024
7,9,7550000,1.0,31.71,2028
10,17,5050000,1.0,24.0,2024
1,5,2550000,1.0,14.0,1960
3,23,5076000,1.0,28.2,2027
6,17,4250000,1.0,23.4,2020
4,17,2400000,1.0,19.7,2012
9,9,7640000,1.0,33.6,2028
11,25,6700000,1.0,36.0,2020
1,3,2150000,1.0,25.1,2013
9,14,7760000,1.0,26.84,2028
10,20,7000000,1.0,30.1,2007
2,3,2200000,1.0,24.9,2007
18,24,16360000,1.0,99.4,2025
13,17,6190000,1.0,24.6,2024
2,3,2350000,1.0,18.0,1937
27,30,6203000,1.0,23.2,2026
7,25,5900000,1.0,21.3,2025
8,18,2400000,1.0,21.2,2012
5,9,9340000,1.0,33.49,2028
3,3,2490000,1.0,27.8,2007
3,17,2590000,1.0,21.3,2023
6,29,9152941,1.0,32.69,2026
10,10,3800000,1.0,38.2,2007
3,5,1700000,1.0,19.0,1975
11,17,4700000,1.0,19.9,2026
4,5,1850000,1.0,18.1,1970
7,17,2300000,1.0,19.5,2011
3,29,7341176,1.0,25.2,2026
2,10,3400000,1.0,38.5,2017
4,17,2100000,1.0,19.2,2014
6,8,5830000,1.0,24.2,2026
6,9,4500000,1.0,23.9,2014
4,17,2200000,1.0,20.2,2007
11,16,6850000,1.0,28.17,2028
6,10,3450000,1.0,32.5,2024
3,6,4250000,1.0,18.6,2024
8,29,5800000,1.0,27.4,2025
3,17,3500000,1.0,26.0,2025
15,19,2150000,1.0,18.1,2013
10,24,6275000,1.0,26.06,2028
1,3,2550000,1.0,27.4,2007
1,17,2350000,1.0,30.8,2014
7,14,6852000,1.0,28.19,2026
7,18,2800000,1.0,18.2,2024
6,16,3100000,1.0,25.3,2024
13,24,6600000,1.0,31.67,2028
11,16,4250000,1.0,30.7,2015
12,18,2850000,1.0,27.6,2013
8,9,8890000,1.0,30.55,2028
1,3,2400000,1.0,23.5,2007
2,17,2000000,1.0,19.1,2007
4,29,11435294,1.0,34.9,2026
1,17,3150000,1.0,20.2,2007
5,10,2800000,1.0,39.02,2025
9,9,9305882,1.0,32.23,2027
3,10,3400000,1.0,33.0,2011
6,10,3550000,1.0,39.0,2017
12,14,7303000,1.0,28.8,2026
5,17,4500000,1.0,47.0,2007
16,18,3950000,1.0,24.0,2024
14,24,7350000,1.0,32.3,2028
