accommodation_type;author;author_type;deal_type;district;floor;floors_count;house_number;location;price;residential_complex;rooms_count;street;total_meters;underground;url
flat;СМСС;developer;sale;Заельцовский;13;23;46/1;Новосибирск;3627910;Апартаменты VOROSHILOV;-1;Светлановская ;25.37;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326269179/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;ID 95023783;unknown;sale;Кировский;12;24;143/2;Новосибирск;6700000;;1; Немировича-Данченко;25.2;Студенческая;https://novosibirsk.cian.ru/sale/flat/320900037/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Право собственности;real_estate_agent;sale;Кировский;10;10;95;Новосибирск;5000000;Матрешкин двор;2; Петухова;56.4;Студенческая;https://novosibirsk.cian.ru/sale/flat/326567021/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Брусника;developer;sale;Заельцовский;5;9;1/4;Новосибирск;8490000;Лебедевский;2;Лебедевский кв-л;62.8;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326985356/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Наталья Алонцева;realtor;sale;Октябрьский;6;18;162/1;Новосибирск;7256985;ул. Добролюбова, 162/1;2; Добролюбова;42.0;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/326818645/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;ID 91578890;homeowner;sale;Кировский;8;17;2;Новосибирск;2650000;;1; Виктора Уса;21.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/322640499/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Брусника;developer;sale;Дзержинский;3;9;;Новосибирск;11460000;Город-на-озере ЖК;2;;48.66;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/326882503/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;VIRA Обмен;real_estate_agent;sale;Кировский;8;9;144;Новосибирск;3900000;;2; Петухова;45.9;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/326515054/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;ВербаКапитал;real_estate_agent;sale;Октябрьский;29;29;77;Новосибирск;35800000;Чикаго;-1;Московская ;102.0;Октябрьская;https://novosibirsk.cian.ru/sale/flat/319239807/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Брусника;developer;sale;Заельцовский;2;9;1/4;Новосибирск;5890000;Лебедевский;1;Лебедевский кв-л;36.4;Заельцовская;https://novosibirsk.cian.ru/sale/flat/322957846/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;СЛОН;real_estate_agent;sale;Советский;1;9;2;Новосибирск;6500000;;2; Добровольческая;51.9;;https://novosibirsk.cian.ru/sale/flat/324814079/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;Все Новые Дома;real_estate_agent;sale;Центральный;4;7;23;Новосибирск;11990000;;4;Серебренниковская ;115.0;Площадь Ленина;https://novosibirsk.cian.ru/sale/flat/325611622/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;СМСС;developer;sale;Калининский;6;23;;Новосибирск;4482000;Калининский квартал ЖК;1;;24.9;Маршала Покрышкина;https://novosibirsk.cian.ru/sale/flat/325987629/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
flat;ВербаКапитал;real_estate_agent;sale;Октябрьский;29;29;77;Новосибирск;29900000;Чикаго;-1;Московская ;84.6;Октябрьская;https://novosibirsk.cian.ru/sale/flat/320976852/?mlSearchSessionGuid=11715bfba34fa7f8cf25ba6717eac38d
