accommodation_type;author;author_type;deal_type;district;floor;floors_count;house_number;location;price;residential_complex;rooms_count;street;total_meters;underground;url
flat;Брусника;developer;sale;Заельцовский;5;9;1/4;Новосибирск;8490000;Лебедевский;2;Лебедевский кв-л;62.8;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326985356/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Право собственности;real_estate_agent;sale;Кировский;10;10;95;Новосибирск;5000000;Матрешкин двор;2; Петухова;56.4;Студенческая;https://novosibirsk.cian.ru/sale/flat/326567021/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Наталья Алонцева;realtor;sale;Октябрьский;6;18;162/1;Новосибирск;7256985;ул. Добролюбова, 162/1;2; Добролюбова;42.0;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/326818645/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Брусника;developer;sale;Дзержинский;3;9;;Новосибирск;11460000;Город-на-озере ЖК;2;;48.66;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/326882503/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;VIRA Обмен;real_estate_agent;sale;Кировский;8;9;144;Новосибирск;3900000;;2; Петухова;45.9;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/326515054/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;СЛОН;real_estate_agent;sale;Советский;1;9;2;Новосибирск;6500000;;2; Добровольческая;51.9;;https://novosibirsk.cian.ru/sale/flat/324814079/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;СМСС;developer;sale;Дзержинский;6;22;;Новосибирск;13868800;Паскаль;2; 5-я Кирпичная Горка;70.4;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/325989219/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ИП Павлова И. В.;real_estate_agent;sale;Заельцовский;9;29;105/1;Новосибирск;12000000;Бирюзовая жемчужина-2;2;Сухарная ;59.78;Площадь Гарина-Михайловского;https://novosibirsk.cian.ru/sale/flat/319372678/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;ИП Павлова И. В.;real_estate_agent;sale;Заельцовский;9;29;105/1;Новосибирск;12000000;Бирюзовая жемчужина-2;2;Сухарная ;59.78;Площадь Гарина-Михайловского;https://novosibirsk.cian.ru/sale/flat/319358092/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Брусника;developer;sale;Заельцовский;11;12;1/4;Новосибирск;8230000;Лебедевский;2;Лебедевский кв-л;59.7;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326741513/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Города Новосибирск;real_estate_agent;sale;Октябрьский;2;4;2;Новосибирск;3990000;;2; Ключ-Камышенское плато;46.0;Речной вокзал;https://novosibirsk.cian.ru/sale/flat/319004680/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Этажи;real_estate_agent;sale;Кировский;14;17;15;Новосибирск;3750000;;2; Виктора Уса;42.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/319842651/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;СМСС;developer;sale;Дзержинский;2;22;;Новосибирск;11398000;Паскаль;2; 5-я Кирпичная Горка;55.6;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/325989161/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;Дом Профи;real_estate_agent;sale;Советский;3;5;8;Новосибирск;4290000;;2; Динамовцев;44.9;Студенческая;https://novosibirsk.cian.ru/sale/flat/325928490/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
flat;PRO Недвижимость;real_estate_agent;sale;Дзержинский;5;5;41/1;Новосибирск;4000000;;2; Толбухина;43.5;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/320172241/?mlSearchSessionGuid=5ccd199be5d7419b8fafb8ea055be6bb
