accommodation_type;author;author_type;deal_type;district;floor;floors_count;house_number;location;price;residential_complex;rooms_count;street;total_meters;underground;url
flat;Брусника;developer;sale;Дзержинский;6;14;;Новосибирск;6970000;Город-на-озере ЖК;1;;23.29;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/325792148/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;ID 91578890;homeowner;sale;Кировский;8;17;2;Новосибирск;2650000;;1; Виктора Уса;21.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/322640499/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Формула недвижимости;real_estate_agent;sale;Кировский;3;3;4/1;Новосибирск;2400000;;1;Воскресная ;28.7;Студенческая;https://novosibirsk.cian.ru/sale/flat/321940754/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Новый Мир;developer;sale;Железнодорожный;13;24;;Новосибирск;6600000;Беринг;1;Беринг жилой квартал;31.67;Площадь Гарина-Михайловского;https://novosibirsk.cian.ru/sale/flat/324818013/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;ИП Павлова И. В.;real_estate_agent;sale;Калининский;12;19;1;Новосибирск;5700000;Калининский-3;1;Армавирская ;32.0;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/306197062/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;100 Домов-Новосибирск;real_estate_agent;sale;Ленинский;2;3;22;Новосибирск;1790000;;1;переулок 1-й Пархоменко;12.0;Площадь Маркса;https://novosibirsk.cian.ru/sale/flat/323282875/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Новый Мир;developer;sale;Заельцовский;16;24;;Новосибирск;6450000;Оскар ЖК;1;;26.7;Заельцовская;https://novosibirsk.cian.ru/sale/flat/324818436/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;Открытый Город;real_estate_agent;sale;Калининский;8;17;66/2;Новосибирск;3850000;На Фадеева;1; Фадеева;27.4;Заельцовская;https://novosibirsk.cian.ru/sale/flat/324332974/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;ПЛАНЕТА на Маркса;real_estate_agent;sale;Дзержинский;1;3;40;Новосибирск;2650000;;1; Селезнева;19.0;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/325681116/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
flat;SD Group ( НСК );developer;sale;Дзержинский;4;17;7;Новосибирск;5817800;Промышленная 7;1;Промышленная ;30.62;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/320615117/?mlSearchSessionGuid=85b53e6a96413fb99ff0f4de228876ec
