author_type,district,floor,floors_count,kitchen_meters,living_meters,price,rooms_count,street,total_meters,underground,year_of_construction
developer,Заельцовский,13.0,23.0,5.074000000000001,20.296000000000003,3627910.0,1.0,Светлановская ,25.37,Заельцовская,2026
homeowner,Кировский,8.0,17.0,5.0,16.0,2650000.0,1.0, Виктора Уса,21.0,Площадь Маркса,2016
real_estate_agent,Кировский,3.0,3.0,4.0,20.0,2400000.0,1.0,Воскресная ,28.7,Студенческая,2017
developer,Калининский,1.0,23.0,5.420000000000001,21.680000000000003,4745210.0,1.0, Кропоткина,27.1,Маршала Покрышкина,2027
real_estate_agent,Калининский,12.0,19.0,3.0,16.0,5800000.0,1.0,Армавирская ,32.0,Березовая Роща,2023
real_estate_agent,Ленинский,2.0,3.0,2.0,10.0,1790000.0,1.0,переулок 1-й Пархоменко,12.0,Площадь Маркса,1937
developer,Заельцовский,7.0,9.0,4.14,16.56,4010000.0,1.0,Лебедевский кв-л,20.7,Заельцовская,2028
real_estate_agent,Дзержинский,8.0,29.0,3.0,16.0,5800000.0,1.0,Закаменский мкр,27.5,Березовая Роща,2025
realtor,Заельцовский,7.0,9.0,3.6,14.4,2600000.0,1.0,Дачная ,18.0,Заельцовская,2022
developer,Заельцовский,4.0,23.0,5.242000000000001,20.968000000000004,4324650.0,1.0,Светлановская ,26.21,Заельцовская,2026
real_estate_agent,Калининский,8.0,17.0,4.0,15.0,3850000.0,1.0, Фадеева,27.4,Заельцовская,2015
homeowner,Первомайский,15.0,18.0,0.0,19.7,2350000.0,1.0, Одоевского,19.7,Спортивная,2011
developer,Дзержинский,5.0,9.0,5.510000000000001,22.040000000000003,7960000.0,1.0,проспект Дзержинского,27.55,Березовая Роща,2028
real_estate_agent,Октябрьский,13.0,17.0,4.0,16.3,4590000.0,1.0,Закаменский мкр,25.3,Березовая Роща,2021
real_estate_agent,Дзержинский,1.0,3.0,3.0,15.0,2650000.0,1.0, Селезнева,19.0,Березовая Роща,1947
developer,Калининский,16.0,23.0,5.1000000000000005,20.400000000000002,4513500.0,1.0, Кропоткина,25.5,Маршала Покрышкина,2027
real_estate_agent,Дзержинский,1.0,16.0,3.0,14.4,3400000.0,1.0, Авиастроителей,22.4,Березовая Роща,2019
real_estate_agent,Первомайский,17.0,17.0,3.84,15.36,2070000.0,1.0, Твардовского,19.2,Речной вокзал,2013
developer,Дзержинский,6.0,14.0,4.658,18.632,6970000.0,1.0,проспект Дзержинского,23.29,Березовая Роща,2028
real_estate_agent,Калининский,2.0,12.0,5.0,13.4,3990000.0,1.0, Имени генерал-майора А.Н. Рожкина,27.8,Заельцовская,2024
real_estate_agent,Первомайский,2.0,17.0,3.0,11.2,2000000.0,1.0, Твардовского,19.2,Речной вокзал,2013
developer,Калининский,11.0,23.0,5.0600000000000005,20.240000000000002,4554000.0,1.0, Кропоткина,25.3,Маршала Покрышкина,2027
real_estate_agent,Калининский,17.0,20.0,3.0,17.0,5100000.0,1.0, Олеко Дундича,29.0,Березовая Роща,2017
homeowner,Ленинский,8.0,13.0,5.0,18.0,4500000.0,1.0,69/1,25.8,Студенческая,2011
developer,Заельцовский,9.0,24.0,2.3,11.8,5950000.0,1.0,Красный проспект,27.3,Заельцовская,2028
real_estate_agent,Калининский,19.0,19.0,5.0,17.0,4790000.0,1.0, Гребенщикова,30.9,Заельцовская,2016
real_estate_agent,Калининский,2.0,4.0,4.399999999999999,20.0,2226000.0,1.0, Богдана Хмельницкого,24.4,Заельцовская,2024
developer,Дзержинский,7.0,9.0,5.0,13.3,7550000.0,1.0,проспект Дзержинского,31.71,Березовая Роща,2028
real_estate_agent,Октябрьский,10.0,17.0,6.5,17.5,5050000.0,1.0,Закаменский мкр,24.0,Березовая Роща,2024
real_estate_agent,Центральный,1.0,5.0,2.0,12.0,2550000.0,1.0, Гоголя,14.0,Сибирская,1960
developer,Калининский,3.0,23.0,5.640000000000001,22.560000000000002,5076000.0,1.0, Кропоткина,28.2,Маршала Покрышкина,2027
real_estate_agent,Первомайский,6.0,17.0,5.0,13.4,4250000.0,1.0, Виноградова,23.4,Речной вокзал,2020
real_estate_agent,Кировский,4.0,17.0,4.0,10.7,2400000.0,1.0, Виктора Уса,19.7,Площадь Маркса,2012
developer,Заельцовский,9.0,9.0,6.720000000000001,26.880000000000003,7640000.0,1.0,Лебедевский кв-л,33.6,Заельцовская,2028
real_estate_agent,Ленинский,11.0,25.0,5.0,22.0,6700000.0,1.0, Ясный Берег,36.0,Площадь Маркса,2020
realtor,Кировский,1.0,3.0,1.0,21.8,2150000.0,1.0,Рубежная ,25.1,Площадь Маркса,2013
developer,Дзержинский,9.0,14.0,5.0,10.0,7760000.0,1.0,проспект Дзержинского,26.84,Березовая Роща,2028
real_estate_agent,Центральный,10.0,20.0,5.0,20.1,7000000.0,1.0, Гоголя,30.1,Маршала Покрышкина,2007
real_estate_agent,Кировский,2.0,3.0,5.0,14.9,2200000.0,1.0,Рубежная ,24.9,Студенческая,2017
developer,Железнодорожный,18.0,24.0,43.2,56.2,16360000.0,1.0, Прибрежная,99.4,Площадь Гарина-Михайловского,2025
real_estate_agent,Дзержинский,13.0,17.0,5.0,14.6,6190000.0,1.0, Николая Островского,24.6,Березовая Роща,2024
real_estate_agent,Ленинский,2.0,3.0,2.0,12.0,2350000.0,1.0,переулок 1-й Пархоменко,18.0,Площадь Маркса,1937
developer,Ленинский,27.0,30.0,8.5,14.7,6203000.0,1.0, Забалуева,23.2,Студенческая,2026
real_estate_agent,Заельцовский,7.0,25.0,3.5,8.1,5900000.0,1.0,Красный проспект,21.3,Заельцовская,2025
real_estate_agent,Первомайский,8.0,18.0,4.0,17.2,2400000.0,1.0, Одоевского,21.2,Речной вокзал,2012
developer,Дзержинский,5.0,9.0,10.0,11.4,9340000.0,1.0,проспект Дзержинского,33.49,Березовая Роща,2028
real_estate_agent,Кировский,3.0,3.0,5.0,17.8,2490000.0,1.0, Николая Грицюка,27.8,Площадь Маркса,2017
real_estate_agent,Ленинский,3.0,17.0,5.0,10.9,2590000.0,1.0, Забалуева,21.3,Студенческая,2023
developer,Заельцовский,6.0,29.0,5.1,18.5,9152941.0,1.0,Сухарная ,32.69,Площадь Гарина-Михайловского,2026
real_estate_agent,Кировский,10.0,10.0,4.4,33.800000000000004,3800000.0,1.0, Николая Сотникова,38.2,Студенческая,2017
real_estate_agent,Кировский,3.0,5.0,3.8000000000000003,15.200000000000001,1700000.0,1.0, Зорге,19.0,Площадь Маркса,1975
developer,Октябрьский,11.0,17.0,5.0,5.5,4700000.0,1.0,Выборная ,19.9,Речной вокзал,2026
real_estate_agent,Советский,4.0,5.0,3.6200000000000006,14.480000000000002,1850000.0,1.0, Российская,18.1,Студенческая,1970
real_estate_agent,Первомайский,7.0,17.0,3.0,11.5,2300000.0,1.0, Одоевского,19.5,Спортивная,2011
developer,Заельцовский,3.0,29.0,6.6,11.2,7341176.0,1.0,Сухарная ,25.2,Площадь Гарина-Михайловского,2026
real_estate_agent,Кировский,2.0,10.0,4.4,34.1,3400000.0,1.0, Виктора Шевелева,38.5,Студенческая,2017
real_estate_agent,Первомайский,4.0,17.0,3.0,16.2,2100000.0,1.0, Твардовского,19.2,Речной вокзал,2014
developer,Октябрьский,6.0,8.0,5.0,9.9,5830000.0,1.0,Выборная ,24.2,Речной вокзал,2026
real_estate_agent,Советский,6.0,9.0,5.0,18.9,4500000.0,1.0, 2-я Миргородская,23.9,Студенческая,2014
real_estate_agent,Первомайский,4.0,17.0,3.7,9.4,2200000.0,1.0, Твардовского,20.2,Речной вокзал,2013
developer,Железнодорожный,11.0,16.0,5.1,14.3,6850000.0,1.0,Беринг жилой квартал,28.17,Площадь Гарина-Михайловского,2028
real_estate_agent,Октябрьский,6.0,10.0,10.0,22.5,3450000.0,1.0, Плющихинская,32.5,Золотая Нива,2024
