author_type,district,floor,kitchen_meters,price,rooms_count,year_of_construction
4.0,4.0,13.0,5.074000000000001,3627910.0,1.0,2026
5.0,3.7,8.0,5.0,2650000.0,1.0,2016
2.0,3.7,3.0,4.0,2400000.0,1.0,2017
4.0,3.3,1.0,5.420000000000001,4745210.0,1.0,2027
2.0,3.3,12.0,3.0,5800000.0,1.0,2023
2.0,2.9,2.0,2.0,1790000.0,1.0,1937
4.0,4.0,7.0,4.14,4010000.0,1.0,2028
2.0,3.4,8.0,3.0,5800000.0,1.0,2025
2.0,4.0,7.0,3.6,2600000.0,1.0,2022
4.0,4.0,4.0,5.242000000000001,4324650.0,1.0,2026
2.0,3.3,8.0,4.0,3850000.0,1.0,2015
5.0,4.4,15.0,0.0,2350000.0,1.0,2011
4.0,3.4,5.0,5.510000000000001,7960000.0,1.0,2028
2.0,2.5,13.0,4.0,4590000.0,1.0,2021
2.0,3.4,1.0,3.0,2650000.0,1.0,1947
4.0,3.3,16.0,5.1000000000000005,4513500.0,1.0,2027
2.0,3.4,1.0,3.0,3400000.0,1.0,2019
2.0,4.4,17.0,3.84,2070000.0,1.0,2013
4.0,3.4,6.0,4.658,6970000.0,1.0,2028
2.0,3.3,2.0,5.0,3990000.0,1.0,2024
2.0,4.4,2.0,3.0,2000000.0,1.0,2013
4.0,3.3,11.0,5.0600000000000005,4554000.0,1.0,2027
2.0,3.3,17.0,3.0,5100000.0,1.0,2017
5.0,2.9,8.0,5.0,4500000.0,1.0,2011
4.0,4.0,9.0,2.3,5950000.0,1.0,2028
2.0,3.3,19.0,5.0,4790000.0,1.0,2016
2.0,3.3,2.0,4.399999999999999,2226000.0,1.0,2024
4.0,3.4,7.0,5.0,7550000.0,1.0,2028
2.0,2.5,10.0,6.5,5050000.0,1.0,2024
2.0,3.8,1.0,2.0,2550000.0,1.0,1960
4.0,3.3,3.0,5.640000000000001,5076000.0,1.0,2027
2.0,4.4,6.0,5.0,4250000.0,1.0,2020
2.0,3.7,4.0,4.0,2400000.0,1.0,2012
4.0,4.0,9.0,6.720000000000001,7640000.0,1.0,2028
2.0,2.9,11.0,5.0,6700000.0,1.0,2020
2.0,3.7,1.0,1.0,2150000.0,1.0,2013
4.0,3.4,9.0,5.0,7760000.0,1.0,2028
2.0,3.8,10.0,5.0,7000000.0,1.0,2007
2.0,3.7,2.0,5.0,2200000.0,1.0,2017
4.0,3.9,18.0,43.2,16360000.0,1.0,2025
2.0,3.4,13.0,5.0,6190000.0,1.0,2024
2.0,2.9,2.0,2.0,2350000.0,1.0,1937
4.0,2.9,27.0,8.5,6203000.0,1.0,2026
2.0,4.0,7.0,3.5,5900000.0,1.0,2025
2.0,4.4,8.0,4.0,2400000.0,1.0,2012
4.0,3.4,5.0,10.0,9340000.0,1.0,2028
2.0,3.7,3.0,5.0,2490000.0,1.0,2017
2.0,2.9,3.0,5.0,2590000.0,1.0,2023
4.0,4.0,6.0,5.1,9152941.0,1.0,2026
2.0,3.7,10.0,4.4,3800000.0,1.0,2017
2.0,3.7,3.0,3.8000000000000003,1700000.0,1.0,1975
4.0,2.5,11.0,5.0,4700000.0,1.0,2026
2.0,4.2,4.0,3.6200000000000006,1850000.0,1.0,1970
2.0,4.4,7.0,3.0,2300000.0,1.0,2011
4.0,4.0,3.0,6.6,7341176.0,1.0,2026
2.0,3.7,2.0,4.4,3400000.0,1.0,2017
2.0,4.4,4.0,3.0,2100000.0,1.0,2014
4.0,2.5,6.0,5.0,5830000.0,1.0,2026
2.0,4.2,6.0,5.0,4500000.0,1.0,2014
2.0,4.4,4.0,3.7,2200000.0,1.0,2013
4.0,3.9,11.0,5.1,6850000.0,1.0,2028
2.0,2.5,6.0,10.0,3450000.0,1.0,2024
2.0,4.0,3.0,3.7200000000000006,4250000.0,1.0,2024
4.0,3.4,8.0,5.48,5800000.0,1.0,2025
2.0,3.7,3.0,5.0,3500000.0,1.0,2025
2.0,4.4,15.0,6.100000000000001,2150000.0,1.0,2013
4.0,3.9,10.0,5.1,6275000.0,1.0,2028
2.0,3.7,1.0,4.0,2550000.0,1.0,2017
2.0,3.7,1.0,5.0,2350000.0,1.0,2014
4.0,2.9,7.0,11.490000000000002,6852000.0,1.0,2026
2.0,2.9,7.0,1.8,2800000.0,1.0,2024
2.0,2.9,6.0,5.0600000000000005,3100000.0,1.0,2024
4.0,3.9,13.0,5.1,6600000.0,1.0,2028
2.0,3.4,11.0,7.0,4250000.0,1.0,2015
2.0,3.7,12.0,5.5200000000000005,2850000.0,1.0,2013
4.0,3.4,8.0,10.0,8890000.0,1.0,2028
2.0,3.7,1.0,4.0,2400000.0,1.0,2017
2.0,4.4,2.0,8.600000000000001,2000000.0,1.0,2013
4.0,4.0,4.0,5.6,11435294.0,1.0,2026
2.0,4.4,1.0,11.2,3150000.0,1.0,2013
2.0,2.5,5.0,7.804000000000001,2800000.0,1.0,2025
4.0,2.5,9.0,7.4,9305882.0,1.0,2027
2.0,2.5,3.0,6.6000000000000005,3400000.0,1.0,2011
2.0,2.5,6.0,2.7,3550000.0,1.0,2017
4.0,2.9,12.0,12.7,7303000.0,1.0,2026
2.0,2.9,5.0,17.0,4500000.0,1.0,2015
2.0,3.7,16.0,6.0,3950000.0,1.0,2024
4.0,4.0,14.0,3.0,7350000.0,1.0,2028
2.0,2.5,17.0,4.0,4500000.0,1.0,2026
2.0,3.8,3.0,3.0,3990000.0,1.0,2026
4.0,3.4,2.0,5.922000000000001,6084753.0,1.0,2027
2.0,2.9,10.0,15.0,4600000.0,1.0,2016
2.0,3.7,15.0,6.6,4000000.0,1.0,2017
2.0,2.9,8.0,5.6,5390000.0,1.0,2027
2.0,4.0,6.0,4.0,4850000.0,1.0,2022
2.0,2.5,1.0,6.0,4050000.0,1.0,2011
4.0,2.9,20.0,10.839999999999998,6703000.0,1.0,2026
2.0,4.0,7.0,10.0,4350000.0,1.0,2021
2.0,4.0,17.0,10.0,4100000.0,1.0,2025
4.0,2.9,8.0,5.0,5350000.0,1.0,2027
2.0,2.9,2.0,5.6000000000000005,7300000.0,1.0,2026
2.0,3.7,2.0,10.0,4150000.0,1.0,2017
