author_type,district,floor,price,rooms_count,total_meters,year_of_construction
4.0,4.0,13.0,3627910.0,1.0,25.37,2026
5.0,3.7,8.0,2650000.0,1.0,21.0,2016
2.0,3.7,3.0,2400000.0,1.0,28.7,2017
4.0,3.3,1.0,4745210.0,1.0,27.1,2027
2.0,3.3,12.0,5800000.0,1.0,32.0,2023
2.0,2.9,2.0,1790000.0,1.0,12.0,1937
4.0,4.0,7.0,4010000.0,1.0,20.7,2028
2.0,3.4,8.0,5800000.0,1.0,27.5,2025
2.0,4.0,7.0,2600000.0,1.0,18.0,2022
4.0,4.0,4.0,4324650.0,1.0,26.21,2026
2.0,3.3,8.0,3850000.0,1.0,27.4,2015
5.0,4.4,15.0,2350000.0,1.0,19.7,2011
4.0,3.4,5.0,7960000.0,1.0,27.55,2028
2.0,2.5,13.0,4590000.0,1.0,25.3,2021
2.0,3.4,1.0,2650000.0,1.0,19.0,1947
4.0,3.3,16.0,4513500.0,1.0,25.5,2027
2.0,3.4,1.0,3400000.0,1.0,22.4,2019
2.0,4.4,17.0,2070000.0,1.0,19.2,2013
4.0,3.4,6.0,6970000.0,1.0,23.29,2028
2.0,3.3,2.0,3990000.0,1.0,27.8,2024
2.0,4.4,2.0,2000000.0,1.0,19.2,2013
4.0,3.3,11.0,4554000.0,1.0,25.3,2027
2.0,3.3,17.0,5100000.0,1.0,29.0,2017
5.0,2.9,8.0,4500000.0,1.0,25.8,2011
4.0,4.0,9.0,5950000.0,1.0,27.3,2028
2.0,3.3,19.0,4790000.0,1.0,30.9,2016
2.0,3.3,2.0,2226000.0,1.0,24.4,2024
4.0,3.4,7.0,7550000.0,1.0,31.71,2028
2.0,2.5,10.0,5050000.0,1.0,24.0,2024
2.0,3.8,1.0,2550000.0,1.0,14.0,1960
4.0,3.3,3.0,5076000.0,1.0,28.2,2027
2.0,4.4,6.0,4250000.0,1.0,23.4,2020
2.0,3.7,4.0,2400000.0,1.0,19.7,2012
4.0,4.0,9.0,7640000.0,1.0,33.6,2028
2.0,2.9,11.0,6700000.0,1.0,36.0,2020
2.0,3.7,1.0,2150000.0,1.0,25.1,2013
4.0,3.4,9.0,7760000.0,1.0,26.84,2028
2.0,3.8,10.0,7000000.0,1.0,30.1,2007
2.0,3.7,2.0,2200000.0,1.0,24.9,2017
4.0,3.9,18.0,16360000.0,1.0,99.4,2025
2.0,3.4,13.0,6190000.0,1.0,24.6,2024
2.0,2.9,2.0,2350000.0,1.0,18.0,1937
4.0,2.9,27.0,6203000.0,1.0,23.2,2026
2.0,4.0,7.0,5900000.0,1.0,21.3,2025
2.0,4.4,8.0,2400000.0,1.0,21.2,2012
4.0,3.4,5.0,9340000.0,1.0,33.49,2028
2.0,3.7,3.0,2490000.0,1.0,27.8,2017
