author_type,district,floor,kitchen_meters,price,rooms_count,total_meters,year_of_construction
4.0,4.0,13.0,5.074000000000001,3627.0,1.0,25.37,2026
5.0,3.7,8.0,5.0,2650.0,1.0,21.0,2016
2.0,3.7,3.0,4.0,2400.0,1.0,28.7,2017
4.0,3.3,1.0,5.420000000000001,4745.0,1.0,27.1,2027
2.0,3.3,12.0,3.0,5800.0,1.0,32.0,2023
2.0,2.9,2.0,2.0,1790.0,1.0,12.0,1937
4.0,4.0,7.0,4.14,4010.0,1.0,20.7,2028
2.0,3.4,8.0,3.0,5800.0,1.0,27.5,2025
2.0,4.0,7.0,3.6,2600.0,1.0,18.0,2022
4.0,4.0,4.0,5.242000000000001,4324.0,1.0,26.21,2026
2.0,3.3,8.0,4.0,3850.0,1.0,27.4,2015
5.0,4.4,15.0,0.0,2350.0,1.0,19.7,2011
4.0,3.4,5.0,5.510000000000001,7960.0,1.0,27.55,2028
2.0,2.5,13.0,4.0,4590.0,1.0,25.3,2021
2.0,3.4,1.0,3.0,2650.0,1.0,19.0,1947
4.0,3.3,16.0,5.1000000000000005,4513.0,1.0,25.5,2027
2.0,3.4,1.0,3.0,3400.0,1.0,22.4,2019
2.0,4.4,17.0,3.84,2070.0,1.0,19.2,2013
4.0,3.4,6.0,4.658,6970.0,1.0,23.29,2028
2.0,3.3,2.0,5.0,3990.0,1.0,27.8,2024
2.0,4.4,2.0,3.0,2000.0,1.0,19.2,2013
4.0,3.3,11.0,5.0600000000000005,4554.0,1.0,25.3,2027
2.0,3.3,17.0,3.0,5100.0,1.0,29.0,2017
5.0,2.9,8.0,5.0,4500.0,1.0,25.8,2011
4.0,4.0,9.0,2.3,5950.0,1.0,27.3,2028
2.0,3.3,19.0,5.0,4790.0,1.0,30.9,2016
2.0,3.3,2.0,4.399999999999999,2226.0,1.0,24.4,2024
4.0,3.4,7.0,5.0,7550.0,1.0,31.71,2028
2.0,2.5,10.0,6.5,5050.0,1.0,24.0,2024
2.0,3.8,1.0,2.0,2550.0,1.0,14.0,1960
4.0,3.3,3.0,5.640000000000001,5076.0,1.0,28.2,2027
2.0,4.4,6.0,5.0,4250.0,1.0,23.4,2020
2.0,3.7,4.0,4.0,2400.0,1.0,19.7,2012
4.0,4.0,9.0,6.720000000000001,7640.0,1.0,33.6,2028
2.0,2.9,11.0,5.0,6700.0,1.0,36.0,2020
2.0,3.7,1.0,1.0,2150.0,1.0,25.1,2013
4.0,3.4,9.0,5.0,7760.0,1.0,26.84,2028
2.0,3.8,10.0,5.0,7000.0,1.0,30.1,2007
2.0,3.7,2.0,5.0,2200.0,1.0,24.9,2017
4.0,3.9,18.0,43.2,16360.0,1.0,99.4,2025
2.0,3.4,13.0,5.0,6190.0,1.0,24.6,2024
2.0,2.9,2.0,2.0,2350.0,1.0,18.0,1937
4.0,2.9,27.0,8.5,6203.0,1.0,23.2,2026
2.0,4.0,7.0,3.5,5900.0,1.0,21.3,2025
2.0,4.4,8.0,4.0,2400.0,1.0,21.2,2012
4.0,3.4,5.0,10.0,9340.0,1.0,33.49,2028
2.0,3.7,3.0,5.0,2490.0,1.0,27.8,2017
2.0,2.9,3.0,5.0,2590.0,1.0,21.3,2023
4.0,4.0,6.0,5.1,9152.0,1.0,32.69,2026
2.0,3.7,10.0,4.4,3800.0,1.0,38.2,2017
2.0,3.7,3.0,3.8000000000000003,1700.0,1.0,19.0,1975
4.0,2.5,11.0,5.0,4700.0,1.0,19.9,2026
2.0,4.2,4.0,3.6200000000000006,1850.0,1.0,18.1,1970
2.0,4.4,7.0,3.0,2300.0,1.0,19.5,2011
4.0,4.0,3.0,6.6,7341.0,1.0,25.2,2026
2.0,3.7,2.0,4.4,3400.0,1.0,38.5,2017
2.0,4.4,4.0,3.0,2100.0,1.0,19.2,2014
4.0,2.5,6.0,5.0,5830.0,1.0,24.2,2026
2.0,4.2,6.0,5.0,4500.0,1.0,23.9,2014
2.0,4.4,4.0,3.7,2200.0,1.0,20.2,2013
4.0,3.9,11.0,5.1,6850.0,1.0,28.17,2028
2.0,2.5,6.0,10.0,3450.0,1.0,32.5,2024
